Commit_Message,Release_Notes,Pull_Request_Title,Successful_Builds_per_Day,Code_Coverage,Time_to_Resolve_Issues,Average_Time_to_Merge,Code_Complexity,Rating
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,91,8,10,5,109.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,97,76,10,6,6,302.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,84,22,7,8,1048619.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,85,11,3,5,555.0500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,95,7,2,7,79.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,85,1,10,8,47.0
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,70,24,10,5,4194348.100000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,81,11,9,6,560.2500000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,70,24,4,7,4194347.1
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,100,91,10,10,6,306.40000000000003
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,76,28,1,7,67108904.25000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,71,8,1,5,103.35000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,80,9,8,8,171.39999999999998
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,81,20,10,7,262192.30000000005
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,82,81,30,3,7,268435498.15
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,87,80,7,6,5,75.7
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,72,11,2,5,554.3
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,88,15,1,5,8239.85
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,92,78,4,8,7,49.20000000000001
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,81,95,26,9,8,16777261.550000004
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,92,15,7,5,8236.949999999999
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,80,84,16,8,7,16426.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,90,70,18,2,7,65578.2
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,83,93,3,2,6,46.6
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,93,84,19,5,5,131118.15000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,73,17,2,6,32813.4
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,80,19,3,5,131116.45
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,84,85,16,2,8,16427.5
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,91,88,10,2,5,301.9
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,99,86,19,3,5,131120.05000000002
Real-life example of commit message,Real-life example of release notes,Real-life example of pull request title,98,91,27,5,7,33554481.25000001
